actual_0,actual_1,actual_2,actual_3,actual_4,actual_5,actual_6,actual_7,actual_8,actual_9,actual_10,actual_11,actual_12,actual_13,actual_14,actual_15,target_0,target_1,target_2,target_3,target_4,target_5,target_6,target_7,target_8,target_9,target_10,target_11,target_12,target_13,target_14,target_15,wheel_contact_0,wheel_contact_1,wheel_contact_2,wheel_contact_3,wheel_contact_4,wheel_contact_5,wheel_contact_6,wheel_contact_7
-1.7050699156042403e-20,-1.7050699156042403e-20,-1.151958323230934e-21,-1.151958323230934e-21,1.1351599955985892e-20,1.1351599955985892e-20,8.150807640324823e-21,8.150807640324823e-21,2.757628645188652e-19,2.757628645188644e-19,2.757628645188652e-19,2.757628645188644e-19,-3.3865399921422034e-19,-3.3865399921421976e-19,-3.3865399921422034e-19,-3.3865399921421976e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
-4.419925732093789e-20,-4.419925732093789e-20,-2.4756075078278654e-21,-2.4756075078278654e-21,2.821194871380229e-20,2.821194871380229e-20,2.0599487808639118e-20,2.0599487808639118e-20,4.2665197401509044e-19,4.266519740150886e-19,4.2665197401509044e-19,4.266519740150886e-19,-4.509133703826539e-19,-4.509133703826545e-19,-4.509133703826539e-19,-4.509133703826545e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
-7.751675386504825e-20,-7.751675386504825e-20,-3.768220542581631e-21,-3.768220542581631e-21,4.7677072104390595e-20,4.7677072104390595e-20,3.5327587032379035e-20,3.5327587032379035e-20,4.890077749035982e-19,4.890077749035967e-19,4.890077749035982e-19,4.890077749035967e-19,-4.463448492485232e-19,-4.463448492485242e-19,-4.463448492485232e-19,-4.463448492485242e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
-1.1460204512344047e-19,-1.1460204512344047e-19,-4.964777184317765e-21,-4.964777184317765e-21,6.830577513277226e-20,6.830577513277226e-20,5.125422906103264e-20,5.125422906103264e-20,4.888226270166295e-19,4.8882262701662765e-19,4.888226270166295e-19,4.8882262701662765e-19,-3.938009783746131e-19,-3.938009783746143e-19,-3.938009783746131e-19,-3.938009783746143e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
-1.5397717019190542e-19,-1.5397717019190542e-19,-6.05822892910506e-21,-6.05822892910506e-21,8.939716652244948e-20,8.939716652244948e-20,6.779912604383218e-20,6.779912604383218e-20,4.510851159531693e-19,4.51085115953168e-19,4.510851159531693e-19,4.51085115953168e-19,-3.270794283631691e-19,-3.2707942836317023e-19,-3.270794283631691e-19,-3.2707942836317023e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
-1.9472654014653376e-19,-1.9472654014653376e-19,-7.062579757692957e-21,-7.062579757692957e-21,1.106203344943817e-19,1.106203344943817e-19,8.464979014837273e-20,8.464979014837273e-20,3.947954878317917e-19,3.947954878317907e-19,3.947954878317917e-19,3.947954878317907e-19,-2.6177835191172663e-19,-2.6177835191172764e-19,-2.6177835191172663e-19,-2.6177835191172764e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
-2.3598269470546534e-19,-2.3598269470546534e-19,-7.699738721318033e-21,-7.699738721318033e-21,1.318003351672858e-19,1.318003351672858e-19,1.0161157509624495e-19,1.0161157509624495e-19,3.1952335726220145e-19,3.195233572622007e-19,3.1952335726220145e-19,3.195233572622007e-19,-2.1736681149714287e-19,-2.173668114971438e-19,-2.1736681149714287e-19,-2.173668114971438e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
-2.774989503409141e-19,-2.774989503409141e-19,-8.097702283195609e-21,-8.097702283195609e-21,1.528964361487071e-19,1.528964361487071e-19,1.1861418464596277e-19,1.1861418464596277e-19,2.5371091513001916e-19,2.5371091513001844e-19,2.5371091513001916e-19,2.5371091513001844e-19,-1.7482150547819244e-19,-1.7482150547819323e-19,-1.7482150547819244e-19,-1.7482150547819323e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
-3.191201332823626e-19,-3.191201332823626e-19,-8.340028072865025e-21,-8.340028072865025e-21,1.7389483338193974e-19,1.7389483338193974e-19,1.3561571146630805e-19,1.3561571146630805e-19,1.9804185900880433e-19,1.980418590088038e-19,1.9804185900880433e-19,1.980418590088038e-19,-1.371847480726392e-19,-1.3718474807263987e-19,-1.371847480726392e-19,-1.3718474807263987e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
-3.607483147132364e-19,-3.607483147132364e-19,-8.481167621789074e-21,-8.481167621789074e-21,1.9479332312324397e-19,1.9479332312324397e-19,1.5259095173940364e-19,1.5259095173940364e-19,1.5210715255590882e-19,1.5210715255590843e-19,1.5210715255590882e-19,1.5210715255590843e-19,-1.0540641115852378e-19,-1.0540641115852431e-19,-1.0540641115852378e-19,-1.0540641115852431e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
